theta_min,theta_max,p_min,p_max,dKdThetadP,Stat,Sys
0,40,0.4,3.4,4.9,0.6,0.7
0,40,3.4,6.4,5.1,0.5,0.9
0,40,6.4,9.4,2.4,0.3,0.5
0,40,9.4,12.4,1.6,0.2,0.3
40,60,0.4,3.4,11.1,1.3,1.9
40,60,3.4,6.4,11.4,0.9,1.8
40,60,6.4,9.4,5.3,0.6,0.7
40,60,9.4,12.4,1.8,0.3,0.3
60,100,0.4,2.4,10.6,1.1,2.1
60,100,2.4,4.4,15.1,1,1.7
60,100,4.4,6.4,10.8,0.7,1.3
60,100,6.4,8.4,5.4,0.4,1.1
60,100,8.4,10.4,2.6,0.3,0.5
60,100,10.4,12.4,1.1,0.2,0.2
100,140,0.4,2.4,12.2,1.3,2.1
100,140,2.4,4.4,16.4,1,1.6
100,140,4.4,6.4,7.2,0.5,0.7
100,140,6.4,8.4,2.8,0.3,0.5
100,140,8.4,12.4,0.4,0.1,0.1
140,180,0.4,2.4,13.7,1.8,2.1
140,180,2.4,4.4,11.6,0.8,1.1
140,180,4.4,6.4,3.7,0.3,0.3
140,180,6.4,9.4,0.9,0.1,0.1
180,240,0.4,2.4,14.5,1.8,2.5
180,240,2.4,4.4,7.7,0.5,0.5
180,240,4.4,9.4,0.7,0.1,0.1
240,300,0.4,3.4,12.8,1.3,2.6
240,300,3.4,9.4,0.4,0.1,0.1